z,pre,pre_high_h,auto_0.425,auto_0.85,non_0.425,non_0.85
0.0,0.357619235359082,0.12609375,0.26625,0.425,0.425,0.85
0.0025,0.3586376872706843,0.12746601562499993,0.266921875,0.42606249999999996,0.425,0.85
0.005,0.3596561391822866,0.12884454691416036,0.26759374999999996,0.427125,0.425,0.85
0.0075,0.36068087250092407,0.1302230782033208,0.26827190640703513,0.42818749999999994,0.425,0.85
0.01,0.36170560581956157,0.1316079067217003,0.26895006281407036,0.42924999999999996,0.425,0.85
0.0125,0.3627366522695122,0.13299904837139287,0.2696345323524187,0.4303125,0.425,0.85
0.015,0.3637676987194628,0.13439651913500972,0.27031900189076696,0.431375,0.425,0.85
0.0175,0.36480509034707836,0.1358003350762913,0.27100981660678025,0.4324375,0.425,0.85
0.02,0.36584248197469393,0.1372041510175731,0.27170063132279354,0.4335,0.425,0.85
0.0225,0.3668862511533299,0.1386143445098752,0.27239782358982717,0.43456249999999996,0.425,0.85
0.025,0.36793002033196587,0.14003093186407,0.2730950158568609,0.435625,0.425,0.85
0.0275,0.3689801997670121,0.14145392947467494,0.27379861838030484,0.43668749999999995,0.425,0.85
0.03,0.3700303792020584,0.14288335382049844,0.27450222090374876,0.43775,0.425,0.85
0.0325,0.3710870019360737,0.14431277816632182,0.2752122667261618,0.4388125,0.425,0.85
0.035,0.372143624670089,0.1457486624604657,0.27592231254857474,0.439875,0.425,0.85
0.0375,0.3732067240880421,0.14719102343854729,0.2766388350549256,0.4409375,0.425,0.85
0.04,0.3742698235059953,0.1486398779231225,0.27735535756127644,0.442,0.425,0.85
0.0425,0.37533943334061504,0.1500887324076977,0.27807188006762723,0.44306249999999997,0.425,0.85
0.045,0.37640904317523494,0.15154411430741654,0.2787949299891217,0.444125,0.425,0.85
0.0475,0.3774851975124725,0.1530060407097531,0.27951797991061617,0.44518749999999996,0.425,0.85
0.05,0.3785613518497102,0.15447452879187984,0.28024759151190065,0.44625,0.425,0.85
0.0525,0.3796440851343162,0.1559495958213749,0.28097720311318514,0.4473125,0.425,0.85
0.055,0.38072681841892225,0.15742466285086998,0.28171341102053826,0.448375,0.425,0.85
0.0575,0.381816165460142,0.15890634363697875,0.2824496189278913,0.4494375,0.425,0.85
0.06,0.38290551250136184,0.1603946557228223,0.2831924581349791,0.4505,0.425,0.85
0.0625,0.3839948595425816,0.16188961674483604,0.2839352973420669,0.4515625,0.425,0.85
0.065,0.38509087325046804,0.16338457776684978,0.2846848032158214,0.45262499999999994,0.425,0.85
0.0675,0.38618688695835457,0.16488622328084213,0.2854343090895759,0.45368749999999997,0.425,0.85
0.07,0.38728960307910965,0.16639457120770318,0.28619051737619905,0.45475,0.425,0.85
0.0725,0.3883923191998647,0.16790963956467175,0.28694672566282214,0.4558125,0.425,0.85
0.075,0.38950177386509416,0.16942470792164022,0.28770967249391965,0.456875,0.425,0.85
0.0775,0.3906112285303237,0.17094653303536556,0.2884726193250172,0.4579375,0.425,0.85
0.08,0.39172745826330385,0.1724751332168415,0.2892423412238654,0.45899999999999996,0.425,0.85
0.0825,0.39284368799628405,0.17401052687657836,0.2900120631227136,0.4600625,0.425,0.85
